freq,variable,standard_name,long_name,units,cell_methods,
day,va70,northward_wind,Northward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,hus200,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,hus300,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,ua100,eastward_wind,Eastward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,ua150m,eastward_wind,Eastward Wind at 150m,m s-1,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H) time: mean (interval: 1D),
day,ua200,eastward_wind,Eastward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,ua250m,eastward_wind,Eastward Wind at 250m,m s-1,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H) time: mean (interval: 1D),
day,wsgsmax,wind_speed_of_gust ,Daily Maximum Near-Surface Wind Speed of Gust,m s-1,time: maximum (interval: 1 hour) area: interpolation (method: bilinear) time: maximum (interval: 1H) time: maximum (interval: 1D),
day,wa1000,upward_air_velocity,Upward Air Velocity,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,rsdsdir,surface_direct_downwelling_shortwave_flux_in_air,Surface Direct Downwelling Shortwave Radiation,W m-2,time: mean (interval: 1H) time: mean (interval: 1D),
day,sic,sea_ice_area_fraction,Sea Ice Area Fraction,%,time: point (interval: 6H) time: mean (interval: 1D),
day,huss,specific_humidity,Near-Surface Specific Humidity,1,time: point (interval: 1H) time: mean (interval: 1D),
day,rluscs,surface_upwelling_longwave_flux_in_air_assuming_clear_sky,Surface Upwelling Clear-Sky Longwave Radiation,W m-2,time: mean (interval: 1D),
day,ta20,air_temperature,Air Temperature,K,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,zg1000,geopotential_height,Geopotential Height,m,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,hfss,surface_upward_sensible_heat_flux,Surface Upward Sensible Heat Flux,W m-2,time: mean (interval: 1 hour) time: mean (interval: 1H) time: mean (interval: 1D),
day,zg925,geopotential_height,Geopotential Height,m,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,hus50,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,hus150,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,hus600,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,va700,northward_wind,Northward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,sfcWind,wind_speed,Near-Surface Wind Speed,m s-1,time: point (interval: 1H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,hus1000,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,ta200,air_temperature,Air Temperature,K,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,wa10,upward_air_velocity,Upward Air Velocity,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,mrfsos,frozen_water_content_of_soil_layer,Frozen Water Content in Upper Portion of Soil Column,kg m-2,time: point (interval: 6H) depth: point time: mean (interval: 1D),
day,ua1500m,northward_wind,Eastward Wind at 1500m,m s-1,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H) time: mean (interval: 1D),
day,va100,northward_wind,Northward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,ua10,eastward_wind,Eastward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,hfls,surface_upward_latent_heat_flux,Surface Upward Latent Heat Flux,W m-2,time: mean (interval: 1 hour) time: mean (interval: 1H) time: mean (interval: 1D),
day,va20,northward_wind,Northward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,hus400,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,zg100,geopotential_height,Geopotential Height,m,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,ta1500m,air_temperature,Air Temperature at 1500m,K,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H) time: mean (interval: 1D),
day,snd,surface_snow_thickness,Snow Depth,m,pseudo_level: sum time: mean (interval: 1D),
day,ta250,air_temperature,Air Temperature,K,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,ua250,eastward_wind,Eastward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,va200m,northward_wind,Northward Wind at 200m,m s-1,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H) time: mean (interval: 1D),
day,rsut,toa_outgoing_shortwave_flux,TOA Outgoing Shortwave Radiation,W m-2,time: mean (interval: 1 hour) time: mean (interval: 1H) time: mean (interval: 1D),
day,snw,surface_snow_amount,Surface Snow Amount,kg m-2,time: point (interval: 6H) time: mean (interval: 1D),
day,ua925,eastward_wind,Eastward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,tasmean,air_temperature,Daily Mean Near-Surface Air Temperature,K,time: point (interval: 1H) time: mean (interval: 1D),
day,mrros,surface_runoff_flux,Surface Runoff,kg m-2 s-1,time: mean (interval: 1 hour) time: mean (interval: 1D),
day,va300,northward_wind,Northward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,clh,cloud_area_fraction_in_atmosphere_layer,High Level Cloud Fraction,%,time: mean (interval: 1 hour) time: mean (interval: 1D),
day,tauv,surface_downward_northward_stress,Surface Downward Northward Wind Stress,Pa,time: mean (interval: 1 hour) time: mean (interval: 1D),
day,z0,surface_roughness_length,Surface Roughness Length,m,time: mean (interval: 1 hour) time: mean (interval: 1D),
day,cll,cloud_area_fraction_in_atmosphere_layer,Low Level Cloud Fraction,%,time: mean (interval: 1 hour) time: mean (interval: 1D),
day,tasmax,air_temperature,Daily Maximum Near-Surface Air Temperature,K,time: maximum (interval: 1 hour) time: maximum (interval: 1D),
day,wa100,upward_air_velocity,Upward Air Velocity,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,wa600,upward_air_velocity,Upward Air Velocity,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,omega500,downward_air_velocity,Downward Air Velocity in pressure coordinates,Pa s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,ta50,air_temperature,Air Temperature,K,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,ta500,air_temperature,Air Temperature,K,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,va600,northward_wind,Northward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,zg10,geopotential_height,Geopotential Height,m,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,va250,northward_wind,Northward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,sund,duration_of_sunshine,Daily Duration of Sunshine,s, ,
day,va1000,northward_wind,Northward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,ta30,air_temperature,Air Temperature,K,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,rsutcs,toa_outgoing_shortwave_flux_assuming_clear_sky,TOA Outgoing Clear-Sky Shortwave Radiation,W m-2,time: mean (interval: 1 hour) time: mean (interval: 1D),
day,ta100m,air_temperature,Air Temperature at 100m,K,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H) time: mean (interval: 1D),
day,ta100,air_temperature,Air Temperature,K,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,va100m,northward_wind,Northward Wind at 100m,m s-1,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H) time: mean (interval: 1D),
day,mrfso,soil_frozen_water_content,Soil Frozen Water Content,kg m-2,time: point (interval: 6H) depth: sum time: mean (interval: 1D),
day,rldscs,surface_downwelling_longwave_flux_in_air_assuming_clear_sky,Surface Downwelling Clear-Sky Longwave Radiation,W m-2,time: mean (interval: 1D),
day,rlds,surface_downwelling_longwave_flux_in_air,Surface Downwelling Longwave Radiation,W m-2,time: mean (interval: 1 hour) time: mean (interval: 1D),
day,va1500m,northward_wind,Northward Wind at 1500m,m s-1,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H) time: mean (interval: 1D),
day,wa150,upward_air_velocity,Upward Air Velocity,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,ta400,air_temperature,Air Temperature,K,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,hus20,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,hus925,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,wa700,upward_air_velocity,Upward Air Velocity,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,wa20,upward_air_velocity,Upward Air Velocity,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,va30,northward_wind,Northward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,psl,air_pressure_at_mean_sea_level,Sea Level Pressure,Pa,time: point (interval: 1H) time: mean (interval: 1D),
day,rsds,surface_downwelling_shortwave_flux_in_air,Surface Downwelling Shortwave Radiation,W m-2,time: mean (interval: 1 hour) time: mean (interval: 1D),
day,mrso,mass_content_of_water_in_soil\n,Total Soil Moisture Content,kg m-2,time: point (interval: 6H) depth: sum time: mean (interval: 1D),
day,snm,surface_snow_melt_flux,Surface Snow Melt,kg m-2 s-1,time: mean (interval: 1 hour) time: mean (interval: 1D),
day,hus70,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,ua500,eastward_wind,Eastward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,rsus,surface_upwelling_shortwave_flux_in_air,Surface Upwelling Shortwave Radiation,W m-2,time: mean (interval: 1 hour) time: mean (interval: 1H) time: mean (interval: 1D),
day,ua70,eastward_wind,Eastward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,zg30,geopotential_height,Geopotential Height,m,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,rlut,toa_outgoing_longwave_flux,TOA Outgoing Longwave Radiation,W m-2,time: mean (interval: 1 hour) time: mean (interval: 1H) time: mean (interval: 1D),
day,zg700,geopotential_height,Geopotential Height,m,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,ta700,air_temperature,Air Temperature,K,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,va400,northward_wind,Northward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,rlus,surface_upwelling_longwave_flux_in_air,Surface Upwelling Longwave Radiation,W m-2,time: mean (interval: 1 hour) time: mean (interval: 1H) time: mean (interval: 1D),
day,va150,northward_wind,Northward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,va50m,northward_wind,Northward Wind at 50m,m s-1,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H) time: mean (interval: 1D),
day,evspsbl,water_evapotranspiration_flux,Evaporation Including Sublimation and Transpiration,kg m-2 s-1,time: mean (interval: 1 hour) time: mean (interval: 1D),
day,ta70,air_temperature,Air Temperature,K,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,ua20,eastward_wind,Eastward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,ua850,eastward_wind,Eastward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,ts,surface_temperature,Surface Temperature,K,time: point (interval: 1H) time: mean (interval: 1D),
day,wa925,upward_air_velocity,Upward Air Velocity,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,wa30,upward_air_velocity,Upward Air Velocity,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,wa850,upward_air_velocity,Upward Air Velocity,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,zg200,geopotential_height,Geopotential Height,m,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,va850,northward_wind,Northward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,prw,atmosphere_mass_content_of_water_vapor,Water Vapor Path,kg m-2,time: point (interval: 1H) time: mean (interval: 1D),
day,wa500,upward_air_velocity,Upward Air Velocity,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,ta300,air_temperature,Air Temperature,K,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,hus10,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,tauu,surface_downward_eastward_stress,Surface Downward Eastward Wind Stress,Pa,time: mean (interval: 1 hour) time: mean (interval: 1D),
day,zg600,geopotential_height,Geopotential Height,m,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,ta150m,air_temperature,Air Temperature at 150m,K,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H) time: mean (interval: 1D),
day,zg250,geopotential_height,Geopotential Height,m,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,pr,precipitation_flux,Precipitation,kg m-2 s-1,time: mean (interval: 1 hour) time: mean (interval: 1D),
day,ua30,eastward_wind,Eastward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,clwvi,atmosphere_mass_content_of_cloud_condensed_water,Condensed Water Path,kg m-2,time: point (interval: 1H) time: mean (interval: 1D),
day,ps,surface_air_pressure,Surface Air Pressure,Pa,time: point (interval: 1H) time: mean (interval: 1D),
day,ta850,air_temperature,Air Temperature,K,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,wa300,upward_air_velocity,Upward Air Velocity,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,ua150,eastward_wind,Eastward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,CAPE,atmosphere_convective_available_potential_energy_wrt_surface,Convective Available Potential Energy,J kg-1,time: mean (interval: 1D),
day,mrsol,mass_content_of_water_in_soil_layer,Total Water Content of Soil Layer,kg m-2,time: point (interval: 6H) time: mean (interval: 1D),
day,ta150,air_temperature,Air Temperature,K,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,ua50,eastward_wind,Eastward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,mrro,runoff_flux,Total Runoff,kg m-2 s-1,time: mean (interval: 1 hour) time: mean (interval: 1D),
day,tasmin,air_temperature,Daily Minimum Near-Surface Air Temperature,K,time: minimum (interval: 1 hour) time: minimum (interval: 1D),
day,hus250,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,rsdscs,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,Surface Downwelling Clear-Sky Shortwave Radiation,W m-2,time: mean (interval: 1D),
day,ua600,eastward_wind,Eastward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,va925,northward_wind,Northward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,prc,convective_precipitation_flux,Convective Precipitation,kg m-2 s-1,time: mean (interval: 1 hour) time: mean (interval: 1D),
day,zg20,geopotential_height,Geopotential Height,m,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,ta200m,air_temperature,Air Temperature at 200m,K,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H) time: mean (interval: 1D),
day,prhmax,precipitation_flux,Daily Maximum Hourly Precipitation Rate,kg m-2 s-1,time: mean (interval: 1 hour) time: maximum (interval: 1D),
day,va500,northward_wind,Northward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,wa200,upward_air_velocity,Upward Air Velocity,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,wa400,upward_air_velocity,Upward Air Velocity,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,ua300,eastward_wind,Eastward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,va250m,northward_wind,Northward Wind at 250m,m s-1,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H) time: mean (interval: 1D),
day,hus700,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,zg50,geopotential_height,Geopotential Height,m,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,hus500,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,wa250,upward_air_velocity,Upward Air Velocity,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,va10,northward_wind,Northward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,ua700,eastward_wind,Eastward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,clivi,atmosphere_mass_content_of_cloud_ice,Ice Water Path,kg m-2,time: point (interval: 1H) time: mean (interval: 1D),
day,va150m,northward_wind,Northward Wind at 150m,m s-1,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H) time: mean (interval: 1D),
day,zg150,geopotential_height,Geopotential Height,m,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,clt,cloud_area_fraction,Total Cloud Cover Percentage,%,time: mean (interval: 1 hour) time: mean (interval: 1D),
day,ua50m,eastward_wind,Eastward Wind at 50m,m s-1,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H) time: mean (interval: 1D),
day,clm,cloud_area_fraction_in_atmosphere_layer,Mid Level Cloud Fraction,%,time: mean (interval: 1 hour) time: mean (interval: 1D),
day,tsl,soil_temperature,Temperature of Soil,K,time: point (interval: 6H) time: mean (interval: 1D),
day,zg400,geopotential_height,Geopotential Height,m,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,rlutcs,toa_outgoing_longwave_flux_assuming_clear_sky,TOA Outgoing Clear-Sky Longwave Radiation,W m-2,time: mean (interval: 1 hour) time: mean (interval: 1D),
day,va50,northward_wind,Northward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,prsn,snowfall_flux,Snowfall Flux,kg m-2 s-1,time: mean (interval: 1 hour) time: mean (interval: 1D),
day,ta250m,air_temperature,Air Temperature at 250m,K,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H) time: mean (interval: 1D),
day,CIN,atmosphere_convective_inhibition_wrt_surface,Convective Inhibition,J kg-1,time: point (interval: 1H) time: mean (interval: 1D),
day,zg300,geopotential_height,Geopotential Height,m,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,hus30,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,ta50m,air_temperature,Air Temperature at 50m,K,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: linear) time: point (interval: 1H) time: mean (interval: 1D),
day,zg70,geopotential_height,Geopotential Height,m,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,ua100m,eastward_wind,Eastward Wind at 100m,m s-1,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H) time: mean (interval: 1D),
day,hus100,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,ua1000,eastward_wind,Eastward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,zg500,geopotential_height,Geopotential Height,m,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
day,mrsos,mass_content_of_water_in_soil_layer\n,Moisture in Upper Portion of Soil Column,kg m-2,time: point (interval: 1H) depth: point time: mean (interval: 1D),
day,wa50,upward_air_velocity,Upward Air Velocity,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1D),
mon,mrfsol,frozen_water_content_of_soil_layer,Frozen Water Content of Soil Layer,kg m-2,time: point (interval: 6H) time: mean (interval: 1M),
mon,ta925,air_temperature,Air Temperature,K,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,uas,eastward_wind,Eastward Near-Surface Wind,m s-1,time: point (interval: 1H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,ta1000,air_temperature,Air Temperature,K,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,ua400,eastward_wind,Eastward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,zmla,atmosphere_boundary_layer_thickness,Height of Boundary Layer,m,time: point (interval: 1H) time: mean (interval: 1M),
mon,rsdt,toa_incoming_shortwave_flux,TOA Incident Shortwave Radiation,W m-2,time: mean (interval: 1 hour) time: mean (interval: 1H) time: mean (interval: 1M),
mon,zg850,geopotential_height,Geopotential Height,m,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,hus850,specific_humidity,Specific Humidity,1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
mon,va200,northward_wind,Northward Wind,m s-1,pressure: point time: point (interval: 6H) area: interpolation (method: bilinear) time: mean (interval: 1M),
